pdf_source,pdf_section,pdf_page_start,pdf_page_end,pdf_figures_tables,website_path,website_title,website_section,coverage_status,notes
docs/TRO.pdf,Cover / document control (N 831),1,1,,(none),,,not_on_website,Working-group cover sheet; not converted to site content
docs/TRO.pdf,Title page (ISO/DTR 24315-5),2,2,,(none),,,not_on_website,ISO title / WD stage warning; not converted
docs/TRO.pdf,Copyright page,3,3,,(none),,,not_on_website,ISO copyright boilerplate; not converted
docs/TRO.pdf,Contents,4,4,,(none),,,not_on_website,TOC only; site uses Rule Maker Perspective nav instead
docs/TRO.pdf,Foreword,5,5,,(none),,,not_on_website,ISO foreword boilerplate; not converted
docs/TRO.pdf,Introduction — METR concept overview,6,7,Figure 0.1; Figure 0.2,docs/what-is-metr.md / docs/key-components.md / docs/functional-view.md (related),METR conceptual pages (outside TRO set),,partial,Intro METR framing is not in the TRO bite-size pages; related concepts appear elsewhere on the site. Figures 0.1–0.2 were not carried into TRO pages
docs/TRO.pdf,Introduction — TRO definition and rules-of-the-road note,7,7,,docs/tro-what-is-a-tro.md,What is a Traffic Regulation Order?,What a TRO can contain / Why this matters for METR,covered,TRO definition and exclusion of rules of the road adapted into the What-is-a-TRO page
docs/TRO.pdf,1 Scope,8,8,,docs/rule-maker-perspective.md,Rule Maker Perspective,Introduction (numbered list of TRO topics),partial,Scope topics become the section roadmap; formal Scope wording not reproduced
docs/TRO.pdf,2 Normative references,8,8,,(none),,,not_on_website,Normative refs not reproduced on website
docs/TRO.pdf,3 Terms and definitions,8,8,,docs/documentation/Vocab.md,(Vocabulary — site engineering section),,partial,Terms point to Part 1 / site Vocab rather than TRO-local definitions
docs/TRO.pdf,4 Symbols and abbreviated terms,8,8,,(none),,,not_on_website,TRO abbreviation noted in prose; symbols clause not reproduced
docs/TRO.pdf,5 Traffic Regulation Order (TRO),8,10,Figure 1; Figure 2; Figure 3,docs/tro-what-is-a-tro.md,What is a Traffic Regulation Order?,What a TRO can contain; Examples; Who establishes a TRO?,covered,Core TRO explanation. Figure 1 (TRO–rule relation) not included as a site figure. Figures 2–3 adapted as tro-example-school-zone.png and tro-example-work-zone.png
docs/TRO.pdf,5 — Figure 1 TRO–rule relation and rule examples,9,9,Figure 1,(none),,,not_on_website,Figure not published on site; concept covered in prose on tro-what-is-a-tro.md
docs/TRO.pdf,5 — Figure 2 Simplified TRO example,10,10,Figure 2,docs/tro-what-is-a-tro.md,What is a Traffic Regulation Order?,Examples (school-zone figure),covered,Published as images/tro/tro-example-school-zone.png
docs/TRO.pdf,5 — Figure 3 Work zone TRO example,10,10,Figure 3,docs/tro-what-is-a-tro.md,What is a Traffic Regulation Order?,Examples (work-zone figure),covered,Published as images/tro/tro-example-work-zone.png (Source [2] in PDF bibliography)
docs/TRO.pdf,6 Jurisdictional entity,10,10,,docs/tro-jurisdictional-entity.md,Jurisdictional Entities and Rule Makers,all sections,covered,Overlapping authority and rule-maker roles adapted for rule makers
docs/TRO.pdf,7 Rule states,11,13,Table 1; Figure 4,docs/tro-rule-states.md,Rule States,Core states; Useful distinctions; Why rule makers care,covered,Table 1 states summarized in markdown. Figure 4 state diagram not published as an image
docs/TRO.pdf,7 — Table 1 Rule states,11,13,Table 1,docs/tro-rule-states.md,Rule States,Core states,covered,active / inactive / annulled / beingImplemented / dormant / overridden / overriding covered in adapted form
docs/TRO.pdf,7 — Figure 4 Rule state diagram,13,13,Figure 4,(none),,,not_on_website,State diagram figure not on site; states described in text
docs/TRO.pdf,8 TRO states,13,14,Table 2; Figure 5,docs/tro-states.md,TRO States,TRO state summary; Relationship to rule states; Rule-maker checklist,covered,Table 2 states summarized in markdown. Figure 5 state diagram not published as an image
docs/TRO.pdf,8 — Table 2 TRO states,14,14,Table 2,docs/tro-states.md,TRO States,TRO state summary,covered,proposed / approved / dormant / in force / annulled covered in adapted form
docs/TRO.pdf,8 — Figure 5 TRO state diagram,14,14,Figure 5,(none),,,not_on_website,State diagram figure not on site; states described in text
docs/TRO.pdf,9 Rule and TRO representations,15,16,Table 3; Table 4,docs/tro-representations.md,Rule and TRO Representations,Rule representations; TRO representations; Physical presence; Rule-maker practice,covered,Tables 3–4 adapted into prose lists. Physical TCD examples use site images
docs/TRO.pdf,9 — Table 3 Rule representation,15,15,Table 3,docs/tro-representations.md,Rule and TRO Representations,Rule representations,covered,legal / electronic / METR / physical rule representations covered
docs/TRO.pdf,9 — Table 4 TRO representation,16,16,Table 4,docs/tro-representations.md,Rule and TRO Representations,TRO representations,covered,legal / electronic / METR TRO representations covered
docs/TRO.pdf,9 — Physical rule / TCD illustration (related imagery),15,16,,docs/tro-representations.md,Rule and TRO Representations,Rule representations / Physical presence,partial,Uses tro-example-speed-guidance.png and tro-example-tcd-crossing.png; not a 1:1 PDF figure mapping for all Table 3 visuals
docs/TRO.pdf,10 TRO proposal and approval,17,17,Figure 6,docs/tro-proposal-and-approval.md,TRO Proposal and Approval,Typical non-emergent flow; Emergent and field scenarios; Outputs rule makers must produce,covered,Process narrative adapted. Figure 6 process graphic not published as an image
docs/TRO.pdf,10 — Figure 6 TRO proposal and approval,17,17,Figure 6,(none),,,not_on_website,Process diagram not on site; steps covered in prose
docs/TRO.pdf,11 TRO installation and implementation,18,20,Figure 7; Figure 8,docs/tro-installation-and-implementation.md,TRO Installation and Implementation,Roles; Two parallel flows; Field adjustments and coordinates; Who uses which representation,covered,Installer/implementer roles and dual physical/digital flows adapted. Figure 7 not published; Figure 8 adapted as image
docs/TRO.pdf,11 — Figure 7 TRO installation and implementation,18,18,Figure 7,(none),,,not_on_website,Dual-flow diagram not on site; flows described in prose under Two parallel flows
docs/TRO.pdf,11 — Figure 8 TCDs for pedestrian crossing,19,19,Figure 8,docs/tro-installation-and-implementation.md,TRO Installation and Implementation,Field adjustments and coordinates,covered,Published as images/tro/tro-example-tcd-crossing.png (also reused on representations page)
